compresion,codificacion,guardado,total,espacio utilizado
3.5983991622924805,4.561348915100098,0.1664729118347168,8.32622241973877,59.82 MB
4.244009733200073,4.958255767822266,0.18032526969909668,9.382592678070068,59.82 MB
4.40560507774353,4.766114234924316,0.15744972229003906,9.329170942306519,59.82 MB
4.49702787399292,4.8236002922058105,0.1563701629638672,9.476999759674072,59.82 MB
4.45091700553894,4.6642351150512695,0.15420842170715332,9.269362211227417,59.82 MB
4.26732325553894,4.57253623008728,0.15791773796081543,8.997779130935669,59.82 MB
4.3356029987335205,4.73655891418457,0.1608891487121582,9.233052730560303,59.82 MB
4.302974462509155,4.655036211013794,0.17432355880737305,9.132336139678955,59.82 MB
4.00540018081665,4.614652633666992,0.15058684349060059,8.770641565322876,59.82 MB
3.997091054916382,4.709506034851074,0.16807770729064941,8.87467622756958,59.82 MB
